# Avida tasks data
# Tue May 29 13:46:53 2018
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not
#  3: Nand
#  4: And
#  5: OrNot
#  6: Or
#  7: AndNot
#  8: Nor
#  9: Xor
# 10: Equals

-1 0 0 0 0 0 0 0 0 0 
26 0 0 0 0 0 0 0 0 0 
49 0 0 0 0 0 0 0 0 0 
71 0 0 0 0 0 0 0 0 0 
93 0 0 0 0 0 0 0 0 0 
114 0 0 0 0 0 0 0 0 0 
134 0 0 0 0 0 0 0 0 0 
152 0 0 0 0 0 0 0 0 0 
169 0 0 0 0 0 0 0 0 0 
185 0 0 0 0 0 0 0 0 0 
200 0 0 0 0 0 0 0 0 0 
216 0 0 0 0 0 0 0 0 0 
230 0 0 0 0 0 0 0 0 0 
245 0 0 0 0 0 0 0 0 0 
259 0 0 0 0 0 0 0 0 0 
273 0 0 0 0 0 0 0 0 0 
289 0 0 0 0 0 0 0 0 0 
303 0 0 0 0 0 0 0 0 0 
318 0 0 0 0 0 0 0 0 0 
333 0 0 0 0 0 0 0 0 0 
350 0 0 0 0 0 0 0 0 0 
366 0 0 0 0 0 0 0 0 0 
382 0 0 0 0 0 0 0 0 0 
398 0 0 0 0 0 0 0 0 0 
413 0 0 0 0 0 0 0 0 0 
427 0 0 0 0 0 0 0 0 0 
442 0 0 0 0 0 0 0 0 0 
457 0 0 0 0 0 0 0 0 0 
472 0 0 0 0 0 0 0 0 0 
487 0 0 0 0 0 0 0 0 0 
500 0 0 0 0 0 0 0 0 0 
513 0 0 0 0 0 0 0 0 0 
526 0 0 0 0 0 0 0 0 0 
539 0 0 0 0 0 0 0 0 0 
553 0 0 0 0 0 0 0 0 0 
566 0 0 0 0 0 0 0 0 0 
580 0 0 0 0 0 0 0 0 0 
593 0 0 0 0 0 0 0 0 0 
607 0 0 0 0 0 0 0 0 0 
620 0 0 0 0 0 0 0 0 0 
633 0 0 0 0 0 0 0 0 0 
647 0 0 0 0 0 0 0 0 0 
660 0 0 0 0 0 0 0 0 0 
673 0 0 0 0 0 0 0 0 0 
687 0 0 0 0 0 0 0 0 0 
702 0 0 0 0 0 0 0 0 0 
715 0 0 0 0 0 0 0 0 0 
729 0 0 0 0 0 0 0 0 0 
743 0 0 0 0 0 0 0 0 0 
757 0 0 0 0 0 0 0 0 0 
772 0 0 0 0 0 0 0 0 0 
786 0 0 0 0 0 0 0 0 0 
801 0 0 0 0 0 0 0 0 0 
815 0 0 0 0 0 0 0 0 0 
829 0 0 0 0 0 0 0 0 0 
844 0 0 0 0 0 0 0 0 0 
858 0 0 0 0 0 0 0 0 0 
872 0 0 0 0 0 0 0 0 0 
886 0 0 0 0 0 0 0 0 0 
901 0 0 0 0 0 0 0 0 0 
916 0 0 0 0 0 0 0 0 0 
930 0 0 0 0 0 0 0 0 0 
944 0 0 0 0 0 0 0 0 0 
958 0 0 0 0 0 0 0 0 0 
973 0 0 0 0 0 0 0 0 0 
987 0 0 0 0 0 0 0 0 0 
1002 0 0 0 0 0 0 0 0 0 
1015 0 0 0 0 0 0 0 0 0 
1029 0 0 0 0 0 0 0 0 0 
1043 0 0 0 0 0 0 0 0 0 
1057 0 0 0 0 0 0 0 0 0 
1071 0 0 0 0 0 0 0 0 0 
1084 0 0 0 0 0 0 0 0 0 
1097 0 0 0 0 0 0 0 0 0 
1110 0 0 0 0 0 0 0 0 0 
1124 0 0 0 0 0 0 0 0 0 
1138 0 0 0 0 0 0 0 0 0 
1153 0 0 0 0 0 0 0 0 0 
1166 0 0 0 0 0 0 0 0 0 
1180 0 0 0 0 0 0 0 0 0 
1195 0 0 0 0 0 0 0 0 0 
1209 0 0 0 0 0 0 0 0 0 
1222 0 0 0 0 0 0 0 0 0 
1236 0 0 0 0 0 0 0 0 0 
1250 35 0 0 0 0 0 0 0 0 
1263 163 0 0 0 0 0 0 0 0 
1277 394 0 0 0 0 0 0 0 0 
1290 681 0 0 0 0 0 0 0 0 
1301 979 0 0 0 0 0 0 0 0 
1314 1318 0 0 0 0 0 0 0 0 
1324 1587 0 0 0 0 0 0 0 0 
1334 1846 0 0 0 0 0 0 0 0 
1343 2039 0 0 0 0 0 0 0 0 
1353 2312 0 0 0 0 0 0 0 0 
1362 2508 0 0 0 0 0 0 0 0 
1372 2694 0 0 0 0 0 0 0 0 
1382 2896 0 0 0 0 0 0 0 0 
1392 3025 0 0 0 0 0 0 0 0 
1403 3106 0 0 0 0 0 0 0 0 
1414 3136 3 0 0 0 0 0 0 0 
1426 3209 5 0 0 0 0 0 0 0 
1439 3241 5 0 0 0 0 0 0 0 
1452 3249 2 0 0 0 0 0 0 0 
1465 3243 6 0 0 0 0 0 0 0 
1479 3247 0 0 0 0 0 0 0 0 
1493 3241 0 0 0 0 0 0 0 0 
1507 3254 0 0 0 0 0 0 0 0 
1520 3245 0 0 0 0 0 0 0 0 
1534 3305 0 0 0 0 0 0 0 0 
1549 3267 0 0 0 0 0 0 0 0 
1562 3306 0 0 0 0 0 0 0 0 
1577 3277 0 0 0 0 0 0 0 0 
1591 3249 3 0 0 0 0 0 0 0 
1604 3263 3 0 0 0 0 0 0 0 
1618 3250 0 0 0 0 0 0 0 0 
1632 3291 0 0 0 0 0 0 0 0 
1646 3251 0 0 0 0 0 0 0 0 
1660 3234 0 0 0 0 0 0 0 0 
1673 3270 0 0 0 0 0 0 0 0 
1687 3287 2 0 0 0 0 0 0 0 
1701 3250 0 0 0 0 0 0 0 0 
1715 3265 0 0 0 0 0 0 0 0 
