# Avida time data
# Wed May 23 10:28:11 2018
#  1: update
#  2: avida time
#  3: average generation
#  4: num_executed?

0 0 0 30 
100 1.03881 6.92188 1920 
200 2.08994 14.8166 11790 
300 3.11959 22.6191 29880 
400 4.12374 30.2509 56850 
500 5.09525 37.5397 89940 
600 6.05934 44.8134 106920 
700 7.01798 52.0726 107880 
800 7.96519 59.2879 107970 
